street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
W 121st Street,right,118.8063453091378,"[1, 128]","[[40.806432, -73.950272], [40.805232, -73.947408]]",275.97489630881137,118.87212379127993,128,2.156053877412589,-0.0657784821421501,Street,5
W 121st Street,right,118.8063453091378,"[129, 199]","[[40.805232, -73.947408], [40.80456, -73.945792]]",155.4469363234167,118.68956455926987,71,2.1893934693438974,0.11678074986792808,Street,5
W 121st Street,right,118.35644032125353,"[200, 299]","[[40.8076, -73.95312], [40.806432, -73.950272]]",273.0840220319901,118.35644032125353,100,2.730840220319901,0.0,Street,5
W 121st Street,right,118.71256234297333,"[300, 506]","[[40.808832, -73.95608], [40.808208, -73.954544]]",146.96692500962916,118.13139487320794,207,0.709985144974054,0.5811674697653757,Street,5
W 121st Street,right,118.71256234297333,"[507, 699]","[[40.808208, -73.954544], [40.8076, -73.95312]]",137.82646772044455,119.33227202109035,193,0.7141267757535987,-0.619709678117033,Street,5
W 122nd Street,right,119.30588636397927,"[1, 131]","[[40.807088, -73.949824], [40.80584, -73.946896]]",283.28335300148217,119.28900339031215,131,2.1624683435227645,0.01688297366712277,Street,5
W 122nd Street,right,119.30588636397927,"[132, 199]","[[40.80584, -73.946896], [40.805184, -73.94536]]",148.6805747088558,119.3380537496544,68,2.1864790398361147,-0.03216738567513744,Street,5
W 122nd Street,right,119.42364946961652,"[200, 299]","[[40.808288, -73.952624], [40.807088, -73.949824]]",271.25261362433827,119.42364946961652,100,2.712526136243383,0.0,Street,5
W 122nd Street,right,118.97303748575723,"[300, 502]","[[40.80952, -73.955552], [40.808864, -73.954096]]",142.82832982560114,120.66638400211497,203,0.7035878316532076,-1.6933465163577353,Street,5
W 122nd Street,right,118.97303748575723,"[503, 644]","[[40.808864, -73.954096], [40.808416, -73.953056]]",100.87482656045356,119.55015301717862,142,0.7103861025384053,-0.5771155314213843,Street,5
W 122nd Street,right,118.97303748575723,"[645, 699]","[[40.808416, -73.953056], [40.808288, -73.952624]]",39.12492700416716,111.30339291740088,55,0.7113623091666756,7.669644568356347,Street,5
W 123rd Street,right,118.13693572177864,"[1, 126]","[[40.807696, -73.949328], [40.806512, -73.94648]]",273.9321343407949,118.68351534612395,126,2.174064558260277,-0.5465796243453269,Street,5
